"","Q22_2","Q22_4","Q22_11","Q22_13","Q22_22","Q22_23","Q22_25","Q22_8","Q22_9","Q22_16","Q22_18","Q22_19","Q22_20","Q22_26","Q22_27","DLoC_SUM","Age","group","raw","percentile","n","m","md","sd","normValue"
"326",3.14045515140892,2.99014137508787,3.00497314063688,3.74265007560722,3.37325128929858,2.90781813828257,3.35240409962669,2.36297211940759,2.04345988997881,1.7335899882281,1.97277347203375,1.56639664636831,2.01142102100499,1.60563919899823,1.46084223208307,37.2687878380516,25,25,37.2687878380516,0.214285714285714,7,38.1719554914697,37.9384601580011,1.54331660850472,42.0836139225663
"347",2.30931397975811,2.09422339704568,1.99901716720887,2.46285105875312,1.73853153753266,1.69863243035317,2.16751497985458,3.37270134322395,3.24174736715479,2.92629129515919,3.26191156831464,3.15971383455977,3.41699235965215,3.06412261857113,2.89451183490273,39.8080767720445,25,25,39.8080767720445,0.928571428571429,7,38.1719554914697,37.9384601580011,1.54331660850472,64.6523379268552
"395",3.07691767734508,2.92165196891381,2.92807176244611,3.64481447364952,3.2482833929024,2.8153806461014,3.26182398606246,2.44016194775203,2.13506425527678,1.82476731277877,2.07132300988718,1.68819947959711,2.11887142235712,1.71713452085743,1.5704406352332,37.4629064911604,25,25,37.4629064911604,0.357142857142857,7,38.1719554914697,37.9384601580011,1.54331660850472,46.3389364319943
"610",2.32105706624398,2.10688170667977,2.01323018949662,2.48093317410495,1.76162828220122,1.71571685936477,2.18425612550377,3.35843500916781,3.22481691784079,2.90943977212456,3.24369750231333,3.13720206137545,3.39713322337689,3.04351589432448,2.87425570187465,39.772199485993,25,25,39.772199485993,0.785714285714286,7,38.1719554914697,37.9384601580011,1.54331660850472,57.9163860774337
"633",2.47274960413615,2.27039673453299,2.19682837933723,2.71451077497499,2.05998287748051,1.93640674343638,2.40051161112971,3.17414815902853,3.00611608248667,2.69175847517191,3.00841541524029,2.8464038959279,3.1406007703829,2.77732639615627,2.61259500214222,39.3087509215647,25,25,39.3087509215647,0.642857142857143,7,38.1719554914697,37.9384601580011,1.54331660850472,53.6610635680057
"40",2.14216776387863,1.91405027498663,1.79671491094369,2.20547773873268,1.40978206650307,1.45545976333859,1.92922846564748,3.57576241705888,3.48272835110475,3.16614887522838,3.52116301907775,3.48013706443416,3.69965905746102,3.35743017307524,3.18282921960981,40.3187391610808,26,26,40.3187391610808,0.933333333333333,15,37.7753078539761,37.2587973146916,1.73613975545173,65.0108594604402
"68",3.20827014140052,3.06324167475604,3.08705172920508,3.84707223694336,3.50663236508491,3.00647877437927,3.4490823133156,2.28058566143519,1.9456884691378,1.63627435768142,1.86758931069152,1.4363937144283,1.89673676577368,1.48663770818673,1.34386536571826,37.0616005881377,26,26,37.0616005881377,0.366666666666667,15,37.7753078539761,37.2587973146916,1.73613975545173,46.593051729122
"271",3.52810743937272,3.40800619259672,3.47416074436933,4.3395607256138,4.13570040572609,3.4717940574648,3.90504785489965,1.89202463516868,1.48456701111562,1.17730255324167,1.37150698497957,0.823258086371706,1.35584894262907,0.925388413885829,0.792164851303896,36.0844388987391,26,26,36.0844388987391,0.166666666666667,15,37.7753078539761,37.2587973146916,1.73613975545173,40.325784338983
"293",3.48119444004066,3.35743692597985,3.41738048426529,4.26732364667859,4.0434301522018,3.40354268183417,3.83816787785072,1.94901787292198,1.55220324613056,1.24462348201273,1.44427119966723,0.913191410258087,1.43518512464029,1.00771116966069,0.873087014004463,36.2277667281471,26,26,36.2277667281471,0.3,15,37.7753078539761,37.2587973146916,1.73613975545173,44.7559948729196
"298",3.03018384320866,2.87127583112425,2.87150835154282,3.57285327497274,3.15636552823108,2.74738992895011,3.19519942999156,2.49693752292274,2.20244218109275,1.89183113653533,2.14380933113496,1.77778933958654,2.19790461196169,1.79914287821706,1.65105374851638,37.6056869379887,26,26,37.6056869379887,0.566666666666667,15,37.7753078539761,37.2587973146916,1.73613975545173,51.6789400478811
"353",2.42231017613434,2.21602619930944,2.13577997309123,2.63684366790678,1.96077671126622,1.86302494316437,2.32860429684257,3.23542555235613,3.07883650230469,2.76413988732014,3.08664928261399,2.94309746657391,3.22590061685336,2.86583731577208,2.69960004674394,39.4628526382532,26,26,39.4628526382532,0.766666666666667,15,37.7753078539761,37.2587973146916,1.73613975545173,57.2791329088164
